sheet,sheet_state,cell,names,formula,status,implemented_in
Income Details,visible,BA126,,"IF(OR(MID(sheet1.EmployerCategory1,1,2)=""Pu"",MID(sheet1.EmployerCategory1,1,1)=""O""),1,IF(OR(MID(sheet1.EmployerCategory1,1,1)=""C"",MID(sheet1.EmployerCategory1,1,1)=""S"",MID(sheet1.EmployerCategory1,1,1)=""J""),2,0))",TO_IMPLEMENT,
Income Details,visible,F133,,F132+1,TO_IMPLEMENT,
Income Details,visible,F134,,F133+1,TO_IMPLEMENT,
Income Details,visible,AN137,IncD.Section80CCD_Calc,"IF(BacValue=2,MIN(VALUE(IncD.Section80CCD), IF(BA126=1,ROUND(0.1*MAX(0,(Net_salary-IncD.Perquisites)),0), IF(BA126=2,ROUND(0.14*MAX(0,(Net_salary-IncD.Perquisites)),0),0)),TOTAL_INCOME),IF(BacValue=1,MIN(VALUE(IncD.Section80CCD), IF(OR(BA126=1,BA126=2),ROUND(0.14*MAX(0,(Net_salary-IncD.Perquisites)),0),0),TOTAL_INCOME),0))",TO_IMPLEMENT,
Income Details,visible,AN138,IncD.Section80CCG_Calc,"MIN( IF(TOTAL_INCOME > 1200000,0,MIN(VALUE(IncD.Section80CCG),25000)),TOTAL_INCOME)",TO_IMPLEMENT,
Income Details,visible,AB140,IncD.Section80DValue,"IF(BacValue=1,0,Eligible_Amount_80D)",TO_IMPLEMENT,
Income Details,visible,AN140,IncD.Section80DValue_Calc,"IF(IncD.GrossTotIncome<0,0,IncD.Section80DValue)",TO_IMPLEMENT,
Income Details,visible,AN141,IncD.Section80D_Calc,"MIN(100000,SUM(BD143,IF(ISERROR(IncdSection80DB),0,IncdSection80DB)))",TO_IMPLEMENT,
Income Details,visible,BD141,,"SUM(IF(ISERROR(IncdSection80D),0,IncdSection80D),Temp80DC)",TO_IMPLEMENT,
Income Details,visible,BF141,IncD.Section80DAutop,"MIN(100000,SUM(BD143,IF(ISERROR(IncdSection80DB),0,IncdSection80DB)))",TO_IMPLEMENT,
Income Details,visible,BD142,,"IF(AND(MID(SELECT80D,1,1)=""1"",MID(SELECT80DC,1,1)=""1""),1,IF(AND(MID(SELECT80D,1,1)=""3"",MID(SELECT80DC,1,1)=""2""),2,IF(AND(MID(SELECT80D,1,1)=""5"",MID(SELECT80DC,1,1)=""3""),3,IF(AND(MID(SELECT80D,1,1)=""6"",OR(MID(SELECT80DC,1,1)=""1"",MID(SELECT80DC,1,1)=""2"",MID(SELECT80DC,1,1)=""3"")),4,0))))",TO_IMPLEMENT,
Income Details,visible,BD143,,"IF(BD142=1,MIN(25000,BD141),IF(BD142=2,MIN(25000,BD141),IF(BD142=3,MIN(50000,BD141),IF(BD142=4,MIN(75000,BD141),BD141))))",TO_IMPLEMENT,
Income Details,visible,BG143,,"MID(SELECT80DC,1,1)",TO_IMPLEMENT,
Income Details,visible,BH143,Temp80DC,"MIN(IF(BG143=""1"",5000,IF(BG143=""2"",5000,IF(BG143=""3"",5000,0))),TOTAL_INCOME,IF(IncD.Section80DC="""",0,IncD.Section80DC))",TO_IMPLEMENT,
Income Details,visible,AB144,IncD.Section80DD,"IF(BacValue=1,0,Amtdeduction_80DD)",TO_IMPLEMENT,
Income Details,visible,AN144,IncD.Section80DD_Calc,"IF(BacValue=1,0,IncD.Section80DD)",TO_IMPLEMENT,
Income Details,visible,BG144,,"MID(Naturedisability_80DD_v1,1,1)",TO_IMPLEMENT,
Income Details,visible,BH144,,"IF(BG144=""1"",75000,IF(BG144=""2"",125000,0))",TO_IMPLEMENT,
